6,6080260,recv,1
6,6083528,recv,2
1,6080260,recv,1
2,6080260,recv,1
3,6080260,recv,1
4,6080260,recv,1
5,6080260,recv,1
6,6080260,recv,3
1,6083528,recv,2
2,6083528,recv,2
3,6083528,recv,2
4,6083528,recv,2
5,6083528,recv,2
6,6083528,recv,4
1,6080260,recv,3
2,6080260,recv,3
3,6080260,recv,3
4,6080260,recv,3
5,6080260,recv,3
6,6080260,recv,5
1,6083528,recv,4
2,6083528,recv,4
3,6083528,recv,4
4,6083528,recv,4
5,6083528,recv,4
6,6083528,recv,6
1,6080260,recv,5
2,6080260,recv,5
3,6080260,recv,5
4,6080260,recv,5
5,6080260,recv,5
1,6083528,recv,6
2,6083528,recv,6
3,6083528,recv,6
4,6083528,recv,6
5,6083528,recv,6
